Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Isha Angne,Dentist,"MDS - Oral Pathalogy & Microbiology, BDS",14,Malad West,Mumbai,84,19,500
Dr. Apeksha Anand,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",16,Powai,Mumbai,97,39,500
Dr. Gunjan Mehta Thaker,Dentist,BDS,21,Goregaon East,Mumbai,100,86,200
Dr. Kaiwan K. Shroff,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",13,Bandra West,Mumbai,100,17,1000
Dr. Anubha Jain,Dentist,BDS,9,Fort,Mumbai,99,96,1000
Dr. Vivek P Soni,Dentist,"BDS, MDS - Orthodontics",38,Powai,Mumbai,99,96,700
Dr. Jyoti Magoo,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",12,Goregaon East,Mumbai,99,122,300
Dr. Supriya Rojekar,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",25,Prabhadevi,Mumbai,99,68,800
Dr. Rashika Vijan,Dentist,BDS,21,Khar West,Mumbai,100,12,1250
Dr. Rohanshi,Dentist,BDS,8,Kandivali West,Mumbai,100,12,200
Dr. Rajesh Gupta,Dentist,BDS,23,Mira Bhayandar,Mumbai,100,12,200
Dr. Dattatraya Kamat,Dentist,BDS,38,Bandra West,Mumbai,100,198,500
Dr. Ekta Kukreja Maniyar,Dentist,"BDS, MDS - Periodontics",13,Goregaon East,Mumbai,100,41,800
Dr. Shilpa Shetty Naik,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",23,Chembur,Mumbai,98,110,500
Dr. Rangnath Jhawar,Dentist,BDS,9,Mira Road,Mumbai,98,110,300
Dr. N.K Doctor,Dentist,BDS,51,Colaba,Mumbai,98,110,1000
Dr. Seema Maurya,Dentist,BDS,13,Khetwadi,Mumbai,98,110,300
Dr. Abhijeet Kulkarni,Dentist,BDS,7,Borivali West,Mumbai,100,14,300
Dr. Kavita Maheshwari,Dentist,BDS,23,Bandra West,Mumbai,100,11,500
Dr. Pragati P Shah,Dentist,BDS,11,Borivali West,Mumbai,100,11,500
Dr. Jayeeta Verma,Dentist,"BDS, MDS - Conservative Dentistry ",14,Chembur,Mumbai,100,11,499
Dr. Kaushal Shah,Dentist,"BDS, MDS - Oral Medicine and Radiology",26,Andheri West,Mumbai,99,273,500
Dr. Arjav Beswal,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",13,Fort,Mumbai,97,118,1000
Dr. Sruthi Somasundaran,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",6,JB Nagar,Mumbai,97,118,500
Dr. Girish Gaba,Dentist,BDS,17,Kurla West,Mumbai,99,242,500
Dr. Maya Nair,Dentist,BDS,10,Mulund West,Mumbai,99,414,500
Dr. Raj Shah,Dentist,PhD - Orthodontics & Dentofacial Orthopaedics,14,Kemps Corner,Mumbai,98,44,500
Dr. Sonal Karania Jakharia,Dentist,BDS,11,Malad West,Mumbai,99,181,500
Dr. Priya A Jain,Dentist,BDS,13,Ghatkopar East,Mumbai,99,181,200
Dr. Meghna Dang,Dentist,"MDS - Prosthodontics, BDS",18,Opera House,Mumbai,95,19,1000
Dr. Spina Mehta,Dentist,BDS,12,Charni Road,Mumbai,100,79,300
Dr. Ashutosh Pai,Dentist,BDS,15,Mahim,Mumbai,100,59,500
Dr. Priyanka Koli,Dentist,BDS,8,Opera House,Mumbai,100,59,1000
Dr. Ami Sukhija,Dentist,BDS,14,Andheri West,Mumbai,99,178,500
Dr. Forum Shah Gada,Dentist,BDS,8,Malad,Mumbai,99,108,1000
Dr. Mazin Deshmukh,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",9,Mira Road,Mumbai,100,15,500
Dr. Sumit Bohra,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",12,Prabhadevi,Mumbai,100,28,500
Dr. Tabrez Lakha,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",11,Khar West,Mumbai,95,22,500
Dr. Manish Agarwal,Dentist,"BDS, MDS - Prosthodontics",25,Bandra West,Mumbai,98,46,500
Dr. Chaitali G Tejale,Dentist,BDS,13,Ghatkopar East,Mumbai,100,60,500
Dr. Mansi Singh,Dentist,BDS,3,Kanjurmarg,Mumbai,100,60,100
Dr. Ameera Lakha,Dentist,BDS,8,Khar West,Mumbai,100,19,500
Dr. Mitali Gandhi,Dentist,"BDS, MDS - Prosthodontics",14,Ghatkopar East,Mumbai,100,14,400
Dr. Pratik Nayak,Dentist,BDS,10,Ghatkopar West,Mumbai,80,15,100
Dr. Reema Nanavati,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",15,Borivali,Mumbai,100,49,300
Dr. Aditi Gvalani,Dentist,BDS,18,Tardeo,Mumbai,99,209,1000
Dr. Arun Swarup,Dentist,BDS,43,Bandra West,Mumbai,99,377,1000
Dr. Ankita Sanghvi Shetty,Dentist,BDS,15,Chembur,Mumbai,100,14,300
Dr. Pooja Patel,Dentist,BDS,16,Santacruz East,Mumbai,100,22,500
Dr. Vishal Dhanjani,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",20,Ghatkopar East,Mumbai,100,79,500
Dr. Swati Maurya,Dentist,BDS,13,Chandivali,Mumbai,96,24,300
Dr. Nihar P Thakkar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13,Mulund West,Mumbai,96,24,300
Dr. Sonali P. Vanmali,Dentist,BDS,23,Kandivali East,Mumbai,96,24,200
Dr. Swati Ravjiani,Dentist,"BDS, MDS - Oral Medicine and Radiology",30,Ghatkopar East,Mumbai,99,80,750
Dr. Shaili Shah,Dentist,BDS,13,Khar West,Mumbai,100,48,500
Dr. Sayali Randive,Dentist,BDS,8,Mulund West,Mumbai,100,48,300
Dr. Nikita Patel,Dentist,BDS,5,Andheri East,Mumbai,100,18,300
Dr. Jatin Prabhu,Dentist,BDS,22,Chembur,Mumbai,100,18,500
Dr. Rhutuja Kamat,Dentist,MDS - Oral & Maxillofacial Surgery,7,Bandra West,Mumbai,100,18,300
Dr. Rakesh Sorathia,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14,Bandra West,Mumbai,100,18,500
Dr. Nikita Virdiya,Dentist,"BDS, MDS - Prosthodontics",10,Kandivali West,Mumbai,94,17,200
Dr. Pooja Jain,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",22,Goregaon West,Mumbai,94,17,500
Dr. Mahika Tekchandani,Dentist,BDS,8,Khar West,Mumbai,100,11,500
Dr. Tuhina Mehta,Dentist,"BDS, MDS - Periodontics",12,Ghatkopar East,Mumbai,100,77,500
Dr. Vishwa Parmar,Dentist,BDS,7,Borivali West,Mumbai,100,77,200
Dr. Faizan Sharif,Dentist,BDS,11,Andheri West,Mumbai,100,19,300
Dr. Shyamal Anand Lad,Dentist,BDS,9,Cuffe Parade,Mumbai,100,31,300
Dr. Swapnil Pande,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",14,Mira-Bhayandar Road,Mumbai,100,31,300
Dr. Sanhita Shelar,Dentist,BDS,8,Borivali West,Mumbai,100,53,300
Dr. Srishti Tody,Dentist,BDS,10,Malad West,Mumbai,100,53,1500
Dr. Mayank Jain,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11,Goregaon West,Mumbai,100,53,500
Dr. Nikhil Ranjan,Dentist,BDS,6,Elphinstone Road,Mumbai,97,35,300
Dr. Nidhi Joshi,Dentist,BDS,9,Goregaon West,Mumbai,97,35,500
Dr. Samiksha Agarwal,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",7,Kandivali West,Mumbai,97,35,300
Dr. Tanvi Jha,Dentist,BDS,11,Chembur,Mumbai,100,43,700
Dr. Akhil Patil,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",8,Khar West,Mumbai,100,43,500
Dr. Juwairia Usmani,Dentist,BDS,1,Mira Road,Mumbai,100,43,200
Dr. Munira Inamdar,Dentist,BDS,21,Umerkhadi,Mumbai,90,29,500
Dr. Khushboo Nikhil Kedia,Dentist,BDS,15,Mulund West,Mumbai,92,13,300
Dr. Ninad Muley,Dentist,BDS,10,Tardeo,Mumbai,92,13,500
Dr. Sandhya Bhargav,Dentist,"BDS, Diploma in Trichology - Cosmetology",11,Vikhroli West,Mumbai,92,13,600
Dr. Ankita Jadhav,Dentist,BDS,9,Chembur East,Mumbai,92,13,500
Dr. Vikita Jain,Dentist,BDS,9,Kemps Corner,Mumbai,92,13,300
Dr. Chaitali Khona,Dentist,BDS,7,Mulund West,Mumbai,92,13,500
Dr. Sonam Gandhi,Dentist,"BDS, MDS - Oral Medicine and Radiology, PG Diploma In Clinical Cosmetology (PGDCC)",11,Malabar Hill,Mumbai,92,13,700
Dr. Manveen Kaur Lamba,Dentist,BDS,8,Oshiwara,Mumbai,92,13,300
Dr. Richa Patel,Dentist,"MDS - Periodontics, BDS",12,Bandra West,Mumbai,92,13,500
Dr. Saloni Gala,Dentist,"BDS, MDS - Orthodontics",8,Mulund West,Mumbai,92,13,300
Dr. Preet Soni,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",9,Bandra West,Mumbai,92,13,200
Dr. Pallavi Chanana,Dentist,"BDS, MDS - Conservative Dentistry ",13,Bandra West,Mumbai,92,13,300
Dr. Sanjana Sanwal,Dentist,BDS,9,Parel,Mumbai,92,13,300
Dr. Sneha Ghodke,Dentist,BDS,6,Goregaon East,Mumbai,92,13,500
Dr. Tanvi Tiwari,Dentist,BDS,12,Khar West,Mumbai,92,13,500
Dr. Rasika Ambekar,Dentist,BDS,6,Bandra West,Mumbai,92,13,200
Dr. Kashish Sachdev,Dentist,"BDS, MDS - Periodontics",8,Bandra West,Mumbai,92,13,300
Dr. Atreyi Ganguly,Dentist,BDS,6,Khar West,Mumbai,92,13,300
Dr. Nitin K Hariyani,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",10,Andheri West,Mumbai,92,13,390
Dr. Ekta Rohan Khatri,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",10,Turner Road,Mumbai,92,13,500
Dr. Amruta Godbole,Dentist,BDS,19,Khar West,Mumbai,92,13,750
Dr. Aditya Nair,Dentist,"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",15,Matunga,Mumbai,100,181,300
Dr. Kunal Shet,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14,Vileparle East,Mumbai,99,1188,0
Dr. Devang Bhanushali,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",16,Mahim,Mumbai,98,94,700
Dr. Snehal Thakkar,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",19,Andheri West,Mumbai,100,42,1000
Dr. Bhumita Shah,Dentist,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",16,Andheri West,Mumbai,100,33,200
Dr. Krupa Doshi,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",11,Vileparle East,Mumbai,100,21,500
Dr. Phani Madhuri,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",20,Sarjapur Road,Bangalore,95,975,700
Dr. Deepak V Rao,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",36,Indiranagar,Bangalore,95,43,700
Dr. Deepthi RK Shashidhar,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",16,Jayanagar 4 Block,Bangalore,98,1370,600
Dr. Kavitha Lakshmi Easwaran,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",26,Kasturi nagar,Bangalore,95,618,700
Dr. Manjula Deepak,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",20,HRBR Layout,Bangalore,100,1176,850
Dr. Archana Agarwal,Gynecologist/obstetrician,"MBBS, DGO",30,Marathahalli,Bangalore,85,673,700
Dr. Ashwini P,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",21,Indiranagar,Bangalore,91,365,700
Dr. Vimala CH,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",17,Whitefield,Bangalore,97,267,800
Dr. H S Chandrika,Gynecologist/obstetrician,"MBBS, DGO",41,JP Nagar 2 Phase,Bangalore,97,359,800
Dr. Suman Singh,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Aesthetic Medicine (FAM)",29,BTM Layout 2nd Stage,Bangalore,93,3323,700
Dr. Kishore C Kumtakar,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",44,Jayanagar 9 Block,Bangalore,93,3323,500
Dr. Asha Puranikmath,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",32,Indiranagar,Bangalore,91,195,800
Dr. Thejavathy G. V,Gynecologist/obstetrician,"MBBS, DGO, MD - Obstetrics & Gynaecology",33,Indiranagar,Bangalore,65,17,700
Dr. Chitra Ramamurthy,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",43,JP Nagar 6 Phase,Bangalore,94,227,700
Dr. Suvarna Jyothi G,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",14,Indiranagar,Bangalore,100,108,700
Dr. Vidya Muralidhar,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology",14,Hebbal Kempapura,Bangalore,98,236,500
Dr. K. Sushmita,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",21,Sahakaranagar,Bangalore,98,915,850
Dr. Pradeepa,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology, MRCOG(UK)",17,Jayanagar 9 Block,Bangalore,98,46,650
Dr. Mala Prakash,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",38,JP Nagar 6 Phase,Bangalore,94,548,600
Dr. Vibha Rathore,Gynecologist/obstetrician,"MBBS, DGO",36,Indiranagar,Bangalore,92,13,700
Dr. Joshitha Naik,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology, DGO",22,Jayanagar 5 Block,Bangalore,85,20,700
Dr. Prathiba Govindaiah,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",18,HSR Layout,Bangalore,95,211,700
Dr. Sasikala A,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",38,Vijayanagar,Bangalore,97,1633,400
Dr. Ashwini B Gowdra,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",21,HSR Layout,Bangalore,95,2685,800
Dr. Sandhya Rani,Gynecologist/obstetrician,"MBBS, DGO",17,Old Airport Road,Bangalore,98,51,850
Dr. Shafalika.S.B,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",20,Yeshwanthpur,Bangalore,100,481,850
Dr. Bhargavi Reddy,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",30,Indiranagar,Bangalore,83,258,200
Dr. Harini P Shetty,Gynecologist/obstetrician,"MBBS, DGO",33,Kalyan Nagar,Bangalore,97,996,650
Dr. S.Indukala,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",23,Jayanagar 9 Block,Bangalore,97,996,500
Dr. Karamjit Kaur,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",22,Old Airport Road,Bangalore,83,12,850
Dr. Aruna Sahadev,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Post Doctoral Fellowship in Reproductive Medicine",21,Rajarajeshwarinagar,Bangalore,94,173,600
Dr. Brunda Channappa,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",33,Jayanagar,Bangalore,90,261,850
Dr. Vijaya Sherbet,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",32,Hebbal,Bangalore,94,405,800
Dr. Rituparna Bera,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",13,Hennur,Bangalore,100,664,500
Dr. Poornima Murthy,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",27,Jayanagar,Bangalore,95,195,850
Dr. Meenakshi R Kamath,Gynecologist/obstetrician,"MBBS, DGO",33,Jayanagar,Bangalore,95,221,800
Dr. Uma Maheshwari,Gynecologist/obstetrician,"MBBS, DGO",24,Jayanagar,Bangalore,95,160,850
Dr. D Vijaya Meenakshi,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",20,Whitefield,Bangalore,97,87,800
Dr. Vidyamani Boriah,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",53,VV Puram,Bangalore,93,27,600
Dr. Shilpa Ellur,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",19,Whitefield,Bangalore,97,93,900
Dr. Sneha Dhatrak Shetty,Gynecologist/obstetrician,"MBBS, DGO",13,HSR Layout,Bangalore,97,70,750
Dr. Sunitha T,Gynecologist/obstetrician,"MS - Obstetrics & Gynaecology, MBBS",16,Vidyaranyapura,Bangalore,99,166,400
Dr. Poornima. M,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18,Old Airport Road,Bangalore,98,42,850
Dr. Vani R,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",26,Basavanagudi,Bangalore,96,325,500
Dr. Basavaraj  Devarashetty,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",26,Marathahalli,Bangalore,98,1280,700
Dr. Mamatha.B.Reddy,Gynecologist/obstetrician,"MBBS, DGO",14,Hoodi,Bangalore,90,156,500
Dr. Regina,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",24,Banaswadi,Bangalore,95,447,600
Dr. Gayathri B N,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18,Electronics City,Bangalore,97,183,700
Dr. Jyothi Patil,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18,Whitefield,Bangalore,98,181,600
Dr. Anu Joseph,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",15,Electronics City,Bangalore,96,246,650
Dr. Sunita Pawar Shekokar,Gynecologist/obstetrician,"MBBS, DGO, MD - Obstetrics & Gynaecology",25,HSR Layout,Bangalore,92,105,600
Dr. Kumudini Devi,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",11,Arekere,Bangalore,98,166,500
Dr. Sneha Rajiv,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",13,Nagasandra,Bangalore,97,319,550
Dr. Payal Mahapatra,Gynecologist/obstetrician,"MBBS, DGO",17,Marathahalli,Bangalore,90,154,700
Dr. Sushma,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",13,Basaveshwaranagar,Bangalore,99,79,500
Dr. Yasmin Imdad,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",21,Whitefield,Bangalore,100,65,600
Dr. Vijayalakshmi M,Gynecologist/obstetrician,"MBBS, DGO",44,Indiranagar,Bangalore,95,107,800
Dr. V S Gangarani,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",34,Indiranagar,Bangalore,67,15,700
Dr. Raman Shobana,Gynecologist/obstetrician,"DGO, DNB - Obstetrics & Gynecology, MBBS",13,Electronics City,Bangalore,100,38,850
Dr. Swetha Vinjamuri,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",18,Kalyan Nagar,Bangalore,99,152,650
Dr. Kanti sahu,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",28,Kundalahalli,Bangalore,86,37,700
Dr. Sunita DSouza Lobo,Gynecologist/obstetrician,"MBBS, DGO",31,Richmond Town,Bangalore,99,87,700
Dr. Lavanya J,Gynecologist/obstetrician,"MBBS, DGO",20,Bagalakunte,Bangalore,88,86,300
Dr. Kakoli Guha Sen,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",27,Sarjapur Road,Bangalore,88,86,700
Dr. Arwa Mohsin E (S Zaveri),Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",23,Richmond Town,Bangalore,90,29,550
Dr. Roopa N K,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",21,Rajarajeshwarinagar,Bangalore,94,17,500
Dr. Latha N,Gynecologist/obstetrician,"MBBS, DGO",29,Padmanabhanagar,Bangalore,99,231,500
Dr. Jyothsna Madan,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",36,Jayanagar,Bangalore,93,301,850
Dr. Dhivya R,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",19,Singasandra,Bangalore,97,155,500
Dr. Garima Jain,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",26,Whitefield,Bangalore,95,143,800
Dr. Anita Balakrishna,Gynecologist/obstetrician,"MS - Obstetrics & Gynaecology, MBBS",23,Indiranagar,Bangalore,94,161,800
Dr. Soumya KN,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",14,Kengeri,Bangalore,94,161,700
Dr. Padmapriya G V,Gynecologist/obstetrician,"DNB - Obstetrics & Gynecology, MBBS, DGO",15,Rajajinagar,Bangalore,100,44,500
Dr. Shwetha Y Baratikkae,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology, Fellowship in Reproductive Medicine",19,Basaveshwaranagar,Bangalore,96,433,600
Dr. Anitha Rao,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",23,Hebbal,Bangalore,98,1383,850
Dr. Namita Kapoor Sahgal,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",30,Whitefield,Bangalore,90,266,800
Dr. Chaitra Nayak,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, FNB - Reproductive Medicine",21,JP Nagar 4 Phase,Bangalore,96,82,600
Dr. K Monika Yadav,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",18,Electronics City,Bangalore,98,92,850
Dr. Shalini K Mishra,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",13,Marathahalli,Bangalore,97,60,500
Dr. Anitha A Manoj,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",16,Banashankari 1st Stage,Bangalore,97,60,600
Dr. Julie Thomas,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",24,Electronics City,Bangalore,88,112,850
Dr. Amulya R,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",12,JP Nagar,Bangalore,100,49,500
Dr. Ankita Gahlot,Gynecologist/obstetrician,"MS - Obstetrics & Gynaecology, MBBS",6,Sarjapur Road,Bangalore,100,49,750
Dr. Dhershana Raja,Gynecologist/obstetrician,"MBBS, DGO",44,Bellandur,Bangalore,76,37,700
Dr. Nagarathna D S,Gynecologist/obstetrician,"MBBS, DGO",26,Koramangala 5 Block,Bangalore,93,42,700
Dr. Mukta Nadig,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",42,Malleswaram,Bangalore,94,371,850
Dr. Nandhini Ravindran,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",17,Ulsoor,Bangalore,97,59,600
Dr. Nirmala R,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",25,JP Nagar,Bangalore,80,25,800
Dr. Hira Mardi,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",20,Whitefield,Bangalore,97,111,800
Dr. Vanita Vaishnav,Gynecologist/obstetrician,"MS - Obstetrics & Gynaecology, MBBS",14,HSR Layout,Bangalore,98,193,650
Dr. Ranjitha G Babu,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",17,Rajajinagar,Bangalore,100,52,600
Dr. Vishnupriya,Gynecologist/obstetrician,"MBBS, DGO",17,Whitefield,Bangalore,93,120,700
Dr. Devi R,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",13,Banashankari 3rd Stage,Bangalore,99,72,600
Dr. Shwetha S. Kamath,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",16,RT Nagar,Bangalore,98,228,600
Dr. Mamatha C V,Gynecologist/obstetrician,"MBBS, DGO",17,Malleswaram,Bangalore,98,228,850
Dr. Jayashree Murthy,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",25,Indiranagar,Bangalore,99,70,600
Dr. Jyoti Kala,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",17,Sarjapur Road,Bangalore,98,63,700
Dr. Sunitha B.,Gynecologist/obstetrician,"MBBS, DGO, DNB - Obstetrics & Gynecology",21,JP Nagar 1 Phase,Bangalore,97,215,900
Dr. Janani Manoharan,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",16,Sarjapur Road,Bangalore,93,46,500
Dr. Rakshita,Gynecologist/obstetrician,"MBBS, DGO",17,Sarjapur Road,Bangalore,95,20,500
Dr. Ramesh S M,Gynecologist/obstetrician,"MBBS, MS - General Surgery, DGO",24,Richmond Town,Bangalore,100,12,550
Dr. Narmatha E,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",9,HSR Layout,Bangalore,100,12,400
Dr. Aparna Shintre,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",26,Malleswaram,Bangalore,98,158,850
Dr. Chitralekha N. Dambekodi,Gynecologist/obstetrician,"MBBS, DGO, MRCOG(UK)",25,Malleswaram,Bangalore,95,228,850
Dr. Akshaya Doddamani,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",12,KR Puram,Bangalore,100,160,450
Dr. N Sapna Lulla,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",24,Hebbal,Bangalore,98,2299,800
Dr. Dershana Rajaram P,Gynecologist/obstetrician,"MBBS, DGO",39,Sarjapur Road,Bangalore,67,12,700
Dr. Roopesh N,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",16,Malleswaram,Bangalore,67,12,900
Dr. Shobha Venkat,Gynecologist/obstetrician,"DNB - Obstetrics & Gynecology, DGO, MBBS",31,Indiranagar,Bangalore,94,1779,800
Dr. Prathima Reddy,Gynecologist/obstetrician,"MBBS, MRCOG(UK)",33,Vasanthnagar,Bangalore,96,519,1000
Dr. Suma Venugopal,Gynecologist/obstetrician,"MD - Obstetrics & Gynaecology, MBBS",36,Jayanagar,Bangalore,96,519,600
Dr. Meghana Nyapathi,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",22,HSR Layout,Bangalore,99,171,700
Dr. Mangala Ramachandra,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DGO",39,Bannerghatta Road,Bangalore,84,85,800
Dr. Raajam Murali S R,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology",23,Kumara Park West,Bangalore,94,17,900
Dr. Veni Nekkilady,Gynecologist/obstetrician,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",12,Kalyan Nagar,Bangalore,100,83,400
Dr. Ramya K S,Gynecologist/obstetrician,"MBBS, MS - Obstetrics & Gynaecology",13,Akshaya nagar,Bangalore,100,36,600
Dr. Chetana V,Gynecologist/obstetrician,"MBBS, DNB - Obstetrics & Gynecology",23,Hebbal,Bangalore,94,33,800
